epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,272.024,0.78411,0.40666,0.96491,0,0,0,0,0,0,0,0.000488193,0.000488193,0.000488193
52,277.406,0.78493,0.41492,0.9618,0,0,0,0,0,0,0,0.000464617,0.000464617,0.000464617
53,282.634,0.76556,0.40333,0.95824,0,0,0,0,0,0,0,0.000441041,0.000441041,0.000441041
54,287.979,0.76129,0.39753,0.95128,0,0,0,0,0,0,0,0.000417464,0.000417464,0.000417464
55,293.216,0.77335,0.40256,0.96354,0,0,0,0,0,0,0,0.000393888,0.000393888,0.000393888
56,298.483,0.75589,0.39379,0.95498,0,0,0,0,0,0,0,0.000370312,0.000370312,0.000370312
57,303.736,0.74361,0.38555,0.94982,0,0,0,0,0,0,0,0.000346736,0.000346736,0.000346736
58,309.033,0.75058,0.39114,0.95915,0,0,0,0,0,0,0,0.00032316,0.00032316,0.00032316
59,314.331,0.75263,0.38696,0.9491,0,0,0,0,0,0,0,0.000299584,0.000299584,0.000299584
60,319.636,0.7478,0.38834,0.95616,0,0,0,0,0,0,0,0.000276008,0.000276008,0.000276008
61,341.14,0.74523,0.37484,0.92968,0,0,0,0,0,0,0,0.000252431,0.000252431,0.000252431
62,346.354,0.74713,0.35519,0.92765,0,0,0,0,0,0,0,0.000228855,0.000228855,0.000228855
63,351.613,0.72909,0.34633,0.91284,0,0,0,0,0,0,0,0.000205279,0.000205279,0.000205279
64,356.786,0.7309,0.34032,0.9261,0,0,0,0,0,0,0,0.000181703,0.000181703,0.000181703
65,361.999,0.718,0.33891,0.90982,0,0,0,0,0,0,0,0.000158127,0.000158127,0.000158127
66,367.336,0.71741,0.33281,0.91298,0,0,0,0,0,0,0,0.000134551,0.000134551,0.000134551
67,372.613,0.72472,0.33414,0.91586,0,0,0,0,0,0,0,0.000110975,0.000110975,0.000110975
68,377.985,0.70729,0.32657,0.91549,0,0,0,0,0,0,0,8.73984e-05,8.73984e-05,8.73984e-05
69,383.199,0.69868,0.32358,0.91089,0,0,0,0,0,0,0,6.38223e-05,6.38223e-05,6.38223e-05
70,389.503,0.70185,0.32447,0.91597,0.95499,0.87198,0.92984,0.75454,0.72707,0.37739,0.83736,4.02461e-05,4.02461e-05,4.02461e-05
